year,age,sex,qx_annual
2017,25,M,0.000619
2017,26,M,0.000684
2017,27,M,0.000671
2017,28,M,0.000745
2017,29,M,0.000708
2017,30,M,0.000717
2017,31,M,0.000803
2017,32,M,0.000931
2017,33,M,0.000867
2017,34,M,0.000886
2017,35,M,0.001036
2017,36,M,0.001109
2017,37,M,0.001123
2017,38,M,0.001123
2017,39,M,0.001291
2017,40,M,0.001441
2017,41,M,0.001523
2017,42,M,0.001778
2017,43,M,0.001981
2017,44,M,0.001977
2017,45,M,0.002253
2017,46,M,0.002582
2017,47,M,0.002764
2017,48,M,0.003062
2017,49,M,0.003482
2017,50,M,0.003728
2017,51,M,0.004128
2017,52,M,0.004523
2017,53,M,0.00515
2017,54,M,0.005287
2017,55,M,0.005879
2017,56,M,0.006736
2017,57,M,0.007208
2017,58,M,0.008134
2017,59,M,0.008823
2017,60,M,0.009524
2017,61,M,0.01085
2017,62,M,0.011554
2017,63,M,0.012166
2017,64,M,0.012598
2017,65,M,0.013747
2017,66,M,0.01457
2017,67,M,0.015403
2017,68,M,0.015904
2017,69,M,0.017391
2017,70,M,0.018662
2017,71,M,0.019896
2017,72,M,0.021273
2017,73,M,0.023103
2017,74,M,0.025184
2017,75,M,0.027503
2017,76,M,0.030772
2017,77,M,0.032981
2017,78,M,0.038005
2017,79,M,0.04133
2017,80,M,0.045509
2017,81,M,0.052756
2017,82,M,0.059901
2017,83,M,0.068604
2017,84,M,0.080711
2017,85,M,0.088986
2017,86,M,0.102254
2017,87,M,0.118704
2017,88,M,0.131972
2017,89,M,0.151427
2017,90,M,0.169132
2017,91,M,0.193904
2017,92,M,0.21788
2017,93,M,0.242096
2017,94,M,0.27156
2017,95,M,0.311333
2017,96,M,0.334388
2017,97,M,0.360625
2017,98,M,0.399152
2017,99,M,0.42928
2017,00,M,0.42556
2017,01,M,0.466797
2017,02,M,0.603149
2017,03,M,0.592807
2017,04,M,0.733992
2017,05,M,0.846573
2017,06,M,0.898426
2017,07,M,0.959267
2017,08,M,1.047923
2017,09,M,1.295174
2017,10+,M,2.515182
2018,0,M,0.004178
2018,1,M,0.000282
2018,2,M,0.000185
2018,3,M,0.000111
2018,4,M,0.000128
2018,5,M,8.3e-05
2018,6,M,6.7e-05
2018,7,M,6.3e-05
2018,8,M,6.5e-05
2018,9,M,7.5e-05
2018,10,M,6.5e-05
2018,11,M,9.4e-05
2018,12,M,0.000109
2018,13,M,9.8e-05
2018,14,M,0.000149
2018,15,M,0.000198
2018,16,M,0.00023
2018,17,M,0.000274
2018,18,M,0.000354
2018,19,M,0.000505
2018,20,M,0.000516
2018,21,M,0.00063
2018,22,M,0.000567
2018,23,M,0.000608
2018,24,M,0.000658
2018,25,M,0.000649
2018,26,M,0.000633
2018,27,M,0.00061
2018,28,M,0.000607
2018,29,M,0.000808
2018,30,M,0.000776
2018,31,M,0.000746
2018,32,M,0.000791
2018,33,M,0.000867
2018,34,M,0.000991
2018,35,M,0.001022
2018,36,M,0.00112
2018,37,M,0.001213
2018,38,M,0.001264
2018,39,M,0.00146
2018,40,M,0.001434
2018,41,M,0.001528
2018,42,M,0.001674
2018,43,M,0.001821
2018,44,M,0.002079
2018,45,M,0.002378
2018,46,M,0.00248
2018,47,M,0.002758
2018,48,M,0.002995
2018,49,M,0.003388
2018,50,M,0.003672
2018,51,M,0.004073
2018,52,M,0.004456
2018,53,M,0.00488
2018,54,M,0.005411
2018,55,M,0.005842
2018,56,M,0.0065
2018,57,M,0.007088
2018,58,M,0.007875
2018,59,M,0.008508
2018,60,M,0.009194
2018,61,M,0.010299
2018,62,M,0.011287
2018,63,M,0.012123
2018,64,M,0.012854
2018,65,M,0.013277
2018,66,M,0.014338
2018,67,M,0.014998
2018,68,M,0.016693
2018,69,M,0.017435
2018,70,M,0.018047
2018,71,M,0.019928
2018,72,M,0.021431
2018,73,M,0.023627
2018,74,M,0.025252
2018,75,M,0.027372
2018,76,M,0.029679
2018,77,M,0.033427
2018,78,M,0.036565
2018,79,M,0.041464
2018,80,M,0.044837
2018,81,M,0.051485
2018,82,M,0.056829
2018,83,M,0.066728
2018,84,M,0.075411
2018,85,M,0.088865
2018,86,M,0.100555
2018,87,M,0.114057
2018,88,M,0.131532
2018,89,M,0.148658
2018,90,M,0.168459
2018,91,M,0.190122
2018,92,M,0.21704
2018,93,M,0.239032
2018,94,M,0.261856
2018,95,M,0.299633
2018,96,M,0.335031
2018,97,M,0.36146
2018,98,M,0.385148
2018,99,M,0.459893
2018,00,M,0.481398
2018,01,M,0.466175
2018,02,M,0.520924
2018,03,M,0.529389
2018,04,M,0.638084
2018,05,M,1.330853
2018,06,M,0.762518
2018,07,M,0.834989
2018,08,M,0.925432
2018,09,M,1.11756
2018,10+,M,2.235234
2019,0,M,0.004157
2019,1,M,0.000321
2019,2,M,0.00022
2019,3,M,0.000116
2019,4,M,0.000139
2019,5,M,9.4e-05
2019,6,M,7.8e-05
2019,7,M,9.4e-05
2019,8,M,6.8e-05
2019,9,M,8.4e-05
2019,10,M,7.5e-05
2019,11,M,7e-05
2019,12,M,7.7e-05
2019,13,M,9e-05
2019,14,M,0.000129
2019,15,M,0.000175
2019,16,M,0.000244
2019,17,M,0.000287
2019,18,M,0.000441
2019,19,M,0.000516
2019,20,M,0.000505
2019,21,M,0.000515
2019,22,M,0.000536
2019,23,M,0.000569
2019,24,M,0.00059
2019,25,M,0.000596
2019,26,M,0.000811
2019,27,M,0.000626
2019,28,M,0.000749
2019,29,M,0.00072
2019,30,M,0.000756
2019,31,M,0.000827
2019,32,M,0.000893
2019,33,M,0.000934
2019,34,M,0.000912
2019,35,M,0.001029
2019,36,M,0.001096
2019,37,M,0.001163
2019,38,M,0.001277
2019,39,M,0.001339
2019,40,M,0.001385
2019,41,M,0.001459
2019,42,M,0.001608
2019,43,M,0.001832
2019,44,M,0.002023
2019,45,M,0.002178
2019,46,M,0.002348
2019,47,M,0.002698
2019,48,M,0.003006
2019,49,M,0.003271
2019,50,M,0.00368
2019,51,M,0.003838
2019,52,M,0.004464
2019,53,M,0.004861
2019,54,M,0.005082
2019,55,M,0.005725
2019,56,M,0.006233
2019,57,M,0.006607
2019,58,M,0.007449
2019,59,M,0.008393
2019,60,M,0.009008
2019,61,M,0.009954
2019,62,M,0.010606
2019,63,M,0.011899
2019,64,M,0.012304
2019,65,M,0.013549
2019,66,M,0.014512
2019,67,M,0.015081
2019,68,M,0.015813
2019,69,M,0.017312
2019,70,M,0.018539
2019,71,M,0.019832
2019,72,M,0.020982
2019,73,M,0.022433
2019,74,M,0.02506
2019,75,M,0.026862
2019,76,M,0.029798
2019,77,M,0.032562
2019,78,M,0.036333
2019,79,M,0.040096
2019,80,M,0.045135
2019,81,M,0.050133
2019,82,M,0.05524
2019,83,M,0.063321
2019,84,M,0.074221
2019,85,M,0.085039
2019,86,M,0.099103
2019,87,M,0.112324
2019,88,M,0.127515
2019,89,M,0.144034
2019,90,M,0.163117
2019,91,M,0.186243
2019,92,M,0.210872
2019,93,M,0.236686
2019,94,M,0.266161
2019,95,M,0.291567
2019,96,M,0.324225
2019,97,M,0.368701
2019,98,M,0.379176
2019,99,M,0.44544
2019,00,M,0.477956
2019,01,M,0.479073
2019,02,M,0.593101
2019,03,M,0.584107
2019,04,M,0.584557
2019,05,M,1.407896
2019,06,M,0.776014
2019,07,M,0.881179
2019,08,M,1.039876
2019,09,M,1.249847
2019,10+,M,2.313354
2015,0,T,0.003647
2015,1,T,0.000262
2015,2,T,0.000156
2015,3,T,0.000147
2015,4,T,9.8e-05
2015,5,T,8e-05
2015,6,T,8.5e-05
2015,7,T,7.9e-05
2015,8,T,8.6e-05
2015,9,T,7.1e-05
2015,10,T,6.3e-05
2015,11,T,7.5e-05
2015,12,T,8.9e-05
2015,13,T,0.000112
2015,14,T,0.000129
2015,15,T,0.000185
2015,16,T,0.000226
2015,17,T,0.000219
2015,18,T,0.000327
2015,19,T,0.00036
2015,20,T,0.000381
2015,21,T,0.000442
2015,22,T,0.000353
2015,23,T,0.00041
2015,24,T,0.00044
2015,25,T,0.00044
2015,26,T,0.000456
2015,27,T,0.000465
2015,28,T,0.000488
2015,29,T,0.000564
2015,30,T,0.000529
2015,31,T,0.000654
2015,32,T,0.000573
2015,33,T,0.00062
2015,34,T,0.000705
2015,35,T,0.00072
